state,year,disposable_income_per_capita
Vermont,2011,39630
Virginia,2011,41937
Washington,2011,40143
West Virginia,2011,31223
Wisconsin,2011,36714
Wyoming,2011,45973
Alabama,2012,32495
Alaska,2012,49166
Arizona,2012,33047
Arkansas,2012,33084
California,2012,41887
Colorado,2012,40250
Connecticut,2012,54461
Delaware,2012,39103
District of Columbia,2012,57885
Florida,2012,37389
Georgia,2012,33557
Hawaii,2012,39486
Idaho,2012,31724
Illinois,2012,40460
Indiana,2012,35468
Iowa,2012,38303
Kansas,2012,40541
Kentucky,2012,32256
Louisiana,2012,37094
Maine,2012,36213
Maryland,2012,45979
Massachusetts,2012,48671
Michigan,2012,35103
Minnesota,2012,41710
Mississippi,2012,30924
Missouri,2012,36101
Montana,2012,36292
Nebraska,2012,41952
Nevada,2012,36057
New Hampshire,2012,46246
New Jersey,2012,47568
New Mexico,2012,32806
New York,2012,44938
North Carolina,2012,35088
North Dakota,2012,50127
Ohio,2012,36040
Oklahoma,2012,38113
Oregon,2012,34724
Pennsylvania,2012,40795
Rhode Island,2012,40684
South Carolina,2012,32672
South Dakota,2012,41368
Tennessee,2012,36224
Texas,2012,39916
Utah,2012,32084
Vermont,2012,40749
Virginia,2012,43457
Washington,2012,42763
West Virginia,2012,32103
Wisconsin,2012,38163
Wyoming,2012,47751
Alabama,2013,32393
Alaska,2013,47672
Arizona,2013,33277
Arkansas,2013,32791
California,2013,41447
Colorado,2013,41359
Connecticut,2013,51845
Delaware,2013,38989
District of Columbia,2013,56871
Florida,2013,36535
Georgia,2013,33413
Hawaii,2013,39069
Idaho,2013,32308
Illinois,2013,40770
Indiana,2013,35450
Iowa,2013,38512
Kansas,2013,40946
Kentucky,2013,32120
Louisiana,2013,37138
Maine,2013,35883
Maryland,2013,44886
Massachusetts,2013,47547
Michigan,2013,34957
Minnesota,2013,41132
Mississippi,2013,31236
Missouri,2013,35887
Montana,2013,35947
Nebraska,2013,41178
Nevada,2013,35223
New Hampshire,2013,45498
New Jersey,2013,46895
New Mexico,2013,31690
New York,2013,44153
North Carolina,2013,33955
North Dakota,2013,48021
Ohio,2013,36225
Oklahoma,2013,39541
Oregon,2013,34501
Pennsylvania,2013,40628
Rhode Island,2013,40014
South Carolina,2013,32447
South Dakota,2013,41106
Tennessee,2013,35962
Texas,2013,40035
Utah,2013,32226
Vermont,2013,40743
Virginia,2013,42195
Washington,2013,42638
West Virginia,2013,31766
Wisconsin,2013,37806
Wyoming,2013,46955
Alabama,2014,33344
Alaska,2014,50263
Arizona,2014,34484
Arkansas,2014,34570
California,2014,43466
Colorado,2014,44034
Connecticut,2014,53970
Delaware,2014,40291
District of Columbia,2014,59757
Florida,2014,38295
Georgia,2014,35232
Hawaii,2014,40724
Idaho,2014,33548
Illinois,2014,42308
Indiana,2014,36635
Iowa,2014,39519
Kansas,2014,41501
Kentucky,2014,33398
Louisiana,2014,38502
Maine,2014,36986
Maryland,2014,45866
Massachusetts,2014,48990
Michigan,2014,36347
Minnesota,2014,42752
Mississippi,2014,31849
Missouri,2014,36948
Montana,2014,37301
Nebraska,2014,43146
Nevada,2014,36999
New Hampshire,2014,46708
New Jersey,2014,48634
New Mexico,2014,33558
New York,2014,45276
North Carolina,2014,35572
North Dakota,2014,50091
Ohio,2014,37631
Oklahoma,2014,41614
Oregon,2014,36391
Pennsylvania,2014,41927
Rhode Island,2014,41280
South Carolina,2014,34166
South Dakota,2014,42543
Tennessee,2014,36891
Texas,2014,42016
Utah,2014,33527
Vermont,2014,42097
Virginia,2014,43523
Washington,2014,45011
West Virginia,2014,32753
Wisconsin,2014,39199
Wyoming,2014,50073
Alabama,2015,34531
Alaska,2015,51514
Arizona,2015,35723
Arkansas,2015,35424
California,2015,45853
Colorado,2015,44772
Connecticut,2015,55283
Delaware,2015,41771
District of Columbia,2015,62941
Florida,2015,40701
Georgia,2015,37340
Hawaii,2015,42036
Idaho,2015,35424
Illinois,2015,43525
Indiana,2015,38510
Iowa,2015,40788
Kansas,2015,42042
Kentucky,2015,34800
Louisiana,2015,39478
Maine,2015,37998
Maryland,2015,47004
Massachusetts,2015,50201
Michigan,2015,37989
Minnesota,2015,44199
Mississippi,2015,32943
Missouri,2015,38016
Montana,2015,38803
