state,year,gdp
Florida,2002,746252.8
Georgia,2002,427329.7
Hawaii,2002,62355.2
Idaho,2002,49840.5
Illinois,2002,692398.1
Indiana,2002,280723
Iowa,2002,131035.2
Kansas,2002,121050.5
Kentucky,2002,165435.3
Louisiana,2002,214856.1
Maine,2002,55406.5
Maryland,2002,290400.3
Massachusetts,2002,388451.6
Michigan,2002,465788.4
Minnesota,2002,268982.8
Mississippi,2002,94561.5
Missouri,2002,264997.7
Montana,2002,33663.8
Nebraska,2002,83433.2
Nevada,2002,120180.1
New Hampshire,2002,63474.2
New Jersey,2002,517752.2
New Mexico,2002,75345.9
New York,2002,1228580.8
North Carolina,2002,393685.9
North Dakota,2002,26592.1
Ohio,2002,546688.2
Oklahoma,2002,127930.2
Oregon,2002,147432.8
Pennsylvania,2002,583507.4
Rhode Island,2002,51284.3
South Carolina,2002,167333
South Dakota,2002,35776
Tennessee,2002,258542.4
Texas,2002,1042584.4
Utah,2002,102828.1
Vermont,2002,26522.8
Virginia,2002,390242.4
Washington,2002,321977.1
West Virginia,2002,64465.7
Wisconsin,2002,257966.9
Wyoming,2002,28901.3
New England,2002,819333.7
Mideast,2002,2784056.2
Great Lakes,2002,2243919
Plains,2002,930798.8
Southeast,2002,3195086.7
Southwest,2002,1480277.7
Rocky Mountain,2002,459318.5
Far West,2002,2514956.9
Alabama,2003,178040
Alaska,2003,41235
Arizona,2003,253743.1
Arkansas,2003,102948
California,2003,1895287.6
Colorado,2003,246017.4
Connecticut,2003,236719.1
Delaware,2003,64316.8
District of Columbia,2003,100969.4
Florida,2003,781834.2
Georgia,2003,439074.6
Hawaii,2003,65623.7
Idaho,2003,51542.6
Illinois,2003,703548.8
Indiana,2003,293045.2
Iowa,2003,137476.9
Kansas,2003,123486.7
Kentucky,2003,170481.9
Louisiana,2003,223576
Maine,2003,56882.4
Maryland,2003,297690.6
Massachusetts,2003,397069.9
Michigan,2003,477085.4
Minnesota,2003,280796.9
Mississippi,2003,98762.1
Missouri,2003,271970.5
Montana,2003,35249.5
Nebraska,2003,88310.7
Nevada,2003,125905.4
New Hampshire,2003,66119.4
New Jersey,2003,529815.9
New Mexico,2003,78766.8
New York,2003,1236563.1
North Carolina,2003,404582.5
North Dakota,2003,28326.7
Ohio,2003,557024.5
Oklahoma,2003,130147.8
Oregon,2003,154445.3
Pennsylvania,2003,598809.5
Rhode Island,2003,52933.1
South Carolina,2003,174270.8
South Dakota,2003,36141.9
Tennessee,2003,267589.4
Texas,2003,1052132.3
Utah,2003,104829.2
Vermont,2003,27548.1
Virginia,2003,404522.2
Washington,2003,327645.2
West Virginia,2003,65106.8
Wisconsin,2003,265745.8
Wyoming,2003,29806.6
New England,2003,837234.3
Mideast,2003,2829745.8
Great Lakes,2003,2296970.5
Plains,2003,965431.8
Southeast,2003,3312051.6
Southwest,2003,1510596.5
Rocky Mountain,2003,467703.7
Far West,2003,2609835.8
Alabama,2004,189913.7
Alaska,2004,42880.1
Arizona,2004,264990
Arkansas,2004,108581.8
California,2004,1956745.5
Colorado,2004,250069.3
Connecticut,2004,252680.8
Delaware,2004,67735.5
District of Columbia,2004,106547.2
Florida,2004,833946.8
Georgia,2004,461245.4
Hawaii,2004,69332
Idaho,2004,55137.1
Illinois,2004,726139
Indiana,2004,303819.8
Iowa,2004,149063.2
Kansas,2004,124793.2
Kentucky,2004,175344.6
Louisiana,2004,234620.8
Maine,2004,58934.8
Maryland,2004,311504.8
Massachusetts,2004,407886
Michigan,2004,485082.7
Minnesota,2004,293753.9
Mississippi,2004,101369.5
Missouri,2004,279128.2
Montana,2004,36949.9
Nebraska,2004,90607.6
Nevada,2004,139373
New Hampshire,2004,68428.1
New Jersey,2004,536174
New Mexico,2004,85751
New York,2004,1269433.1
North Carolina,2004,420579.4
North Dakota,2004,28636.2
Ohio,2004,572308.5
Oklahoma,2004,134606.6
Oregon,2004,163046.1
Pennsylvania,2004,614957.1
Rhode Island,2004,55160.5
South Carolina,2004,177169.4
South Dakota,2004,37616.6
Tennessee,2004,281564.2
Texas,2004,1111189.1
Utah,2004,111318.9
Vermont,2004,28989.2
Virginia,2004,421744.4
Washington,2004,335449.3
West Virginia,2004,66077.6
Wisconsin,2004,275412.4
Wyoming,2004,30780.1
New England,2004,871834.4
Mideast,2004,2907954.7
Great Lakes,2004,2363124.3
Plains,2004,1002489.7
Southeast,2004,3473548.7
Southwest,2004,1592175.9
Rocky Mountain,2004,484373.5
Far West,2004,2705895
Alabama,2005,197246.5
Alaska,2005,44406.8
Arizona,2005,283806.2
Arkansas,2005,112451.1
California,2005,2042141
Colorado,2005,261992.9
Connecticut,2005,258203.7
Delaware,2005,66381.2
District of Columbia,2005,108884.1
Florida,2005,883164.5
Georgia,2005,480838.3
Hawaii,2005,72941.9
Idaho,2005,59331.9
Illinois,2005,741248.6
Indiana,2005,306344.6
Iowa,2005,153626.8
Kansas,2005,129588.2
Kentucky,2005,182017.9
Louisiana,2005,249560.9
Maine,2005,59589.7
Maryland,2005,325644.5
Massachusetts,2005,417075.6
Michigan,2005,493796.3
Minnesota,2005,301761.2
Mississippi,2005,103691.8
Missouri,2005,285341.7
Montana,2005,38849
Nebraska,2005,94556
Nevada,2005,150680.9
New Hampshire,2005,69556.1
New Jersey,2005,546357.8
New Mexico,2005,86295.9
New York,2005,1301438
North Carolina,2005,442305.6
North Dakota,2005,29629
Ohio,2005,584867.7
Oklahoma,2005,140360.1
Oregon,2005,168734.4
Pennsylvania,2005,626290.1
Rhode Island,2005,55885.9
South Carolina,2005,183267.5
South Dakota,2005,39330.6
Tennessee,2005,289064.3
Texas,2005,1143413.1
Utah,2005,118430.2
Vermont,2005,29283.2
Virginia,2005,442089.5
Washington,2005,358396.3
West Virginia,2005,67888.8
Wisconsin,2005,282065.7
Wyoming,2005,32463.1
New England,2005,889361.4
Mideast,2005,2976619.3
Great Lakes,2005,2408650.1
Plains,2005,1032697.3
Southeast,2005,3634909.9
Southwest,2005,1648724.3
Rocky Mountain,2005,511144.3
Far West,2005,2835774.9
Alabama,2006,199923.9
Alaska,2006,47546.2
Arizona,2006,296424.4
Arkansas,2006,114890.4
California,2006,2120435.4
Colorado,2006,268190.8
Connecticut,2006,269478.6
Delaware,2006,68411.8
District of Columbia,2006,108848.3
Florida,2006,909298.9
Georgia,2006,487524.9
Hawaii,2006,74892.9
Idaho,2006,60738.6
Illinois,2006,759825.7
Indiana,2006,312525.5
Iowa,2006,155704.5
Kansas,2006,136135.8
Kentucky,2006,186332.6
Louisiana,2006,247139.7
Maine,2006,59986
Maryland,2006,329874
Massachusetts,2006,426926.1
Michigan,2006,483763.6
Minnesota,2006,302272.7
Mississippi,2006,105879.9
Missouri,2006,286558.3
Montana,2006,40055
Nebraska,2006,97322.8
Nevada,2006,156297.9
New Hampshire,2006,71424.5
New Jersey,2006,555211
New Mexico,2006,88554.5
New York,2006,1339568.5
North Carolina,2006,470663.9
North Dakota,2006,30911.4
Ohio,2006,582637.6
Oklahoma,2006,149367.1
Oregon,2006,177222.4
Pennsylvania,2006,626589.9
Rhode Island,2006,57415.8
South Carolina,2006,187386.1
South Dakota,2006,39961.6
Tennessee,2006,295668.2
Texas,2006,1225147.3
Utah,2006,127539.4
Vermont,2006,29420.9
Virginia,2006,451263.1
Washington,2006,372145
West Virginia,2006,68900
Wisconsin,2006,287146.6
Wyoming,2006,36655.6
New England,2006,914340.5
Mideast,2006,3029492
Great Lakes,2006,2425979.7
Plains,2006,1047757.6
Southeast,2006,3726096.7
Southwest,2006,1754561.8
Rocky Mountain,2006,533204.6
Far West,2006,2947201.5
Alabama,2007,202025.5
Alaska,2007,50126.7
Arizona,2007,306611.6
Arkansas,2007,114026.7
California,2007,2168940.4
Colorado,2007,278733.8
Connecticut,2007,278485.4
Delaware,2007,68132.4
District of Columbia,2007,112287.6
Florida,2007,922288.3
Georgia,2007,492238.7
Hawaii,2007,76434.1
Idaho,2007,61812.1
Illinois,2007,769571.6
Indiana,2007,322661.7
Iowa,2007,162838.1
Kansas,2007,143586.6
Kentucky,2007,185790
Louisiana,2007,234216.4
Maine,2007,60032.6
Maryland,2007,331763.5
Massachusetts,2007,440373.8
Michigan,2007,482935.1
Minnesota,2007,304208
Mississippi,2007,107713.9
Missouri,2007,288320.8
Montana,2007,42057.7
Nebraska,2007,99780.7
Nevada,2007,157734.3
New Hampshire,2007,71943.5
New Jersey,2007,560823.8
New Mexico,2007,89392.3
New York,2007,1353798.9
North Carolina,2007,477920.8
North Dakota,2007,32529
Ohio,2007,585403
Oklahoma,2007,152879.6
Oregon,2007,180724.3
Pennsylvania,2007,649638.1
Rhode Island,2007,56230.5
South Carolina,2007,193386.6
South Dakota,2007,41646.2
Tennessee,2007,294819.8
Texas,2007,1288828.7
Utah,2007,133799.8
Vermont,2007,29296.6
Virginia,2007,457568.9
Washington,2007,394221.9
West Virginia,2007,69374.1
Wisconsin,2007,289855.2
Wyoming,2007,39504.8
New England,2007,936059.9
Mideast,2007,3077936.8
Great Lakes,2007,2450466.5
Plains,2007,1071799.7
Southeast,2007,3752274.3
Southwest,2007,1832803.4
Rocky Mountain,2007,555985.3
Far West,2007,3026963.1
Alabama,2008,200967.4
Alaska,2008,49926.6
Arizona,2008,302277.9
Arkansas,2008,113628
California,2008,2192331.8
Colorado,2008,281803.3
Connecticut,2008,277793.2
Delaware,2008,65771.3
